ter_id,nombre,lugar_over,direccion,provincia,departamento,telefono,latitud,longitud
136,TUMBES / CONTRALMIRANTE VILLA / ZORRITOS / ZORRITOS,ZORRITOS,"AV. 28 DE JULIO N° 205 MZ. 14 LT. 04 LOS PINOS TUMBES, CONTRALMIRAANTE VILLAR - ZORRITOS - TUMBES",CONTRALMIRANTE VILLA,TUMBES,01 5007878,-36.826.429.893.427,-80.686.485.170.117
137,HUANUCO / AMBO / AMBO / AMBO,AMBO,"AV. LAS AMERICAS 501, REF. AL FRENTE DEL COLEGIO JUAN JOSÉ CRESPO Y CASTILLO",AMBO,HUANUCO,01 5007878,-10.120.588.660.119,-76.206.691.676.387
138,LAMBAYEQUE / FERRENAFE / FERRENAFE / FERREÑAFE,FERREÑAFE,"AV. ANDRÉS A. CÁCERES N°550A, REFERENCIA: AL COSTADO DEL GRIFO PRIMAX",FERRENAFE,LAMBAYEQUE,01 5007878,-6.646.179,-79.790.525
139,CAJAMARCA / SAN IGNACIO / SAN IGNACIO / SAN IGNACIO,SAN IGNACIO,"PASAJE TRES N° 113 URB SANTA ROSA, CAJAMARCA - SAN IGNACIO, REF. FRENTE AL ESTADO MUNICIPAL",SAN IGNACIO,CAJAMARCA,(01) 500 7878,-51.428.081.364.603,-78.998.320.738.098
140,AREQUIPA / AREQUIPA / CERRO COLORADO / CIUDAD MUNICIPAL,CIUDAD MUNICIPAL,"MZ. A, SUB LT. 2 A, ASENTAMIENTO POBLACIONAL ASOCIACIÓN CENTRO INDUSTRIAL LAS CANTERAS, CERRO COLORADO - AREQUIPA, REF. AL COSTADO DEL GRIFO PRIMAX",AREQUIPA,AREQUIPA,01 5007878,-16.327.887.664.431,-71.594.528.470.558
141,LIMA / BARRANCA / PARAMONGA / PARAMONGA,PARAMONGA,"AV. CENTRAL N° 305 MZ. N1 LT. 17, rEF. URB. MIGUEL GRAU",BARRANCA,LIMA,(01) 500 7878,-10.673.598,-77.815.645
142,AREQUIPA / AREQUIPA / CERRO COLORADO / ASOC LAS FLORES -  AV 54,ASOC LAS FLORES -  AV 54,asoc. las flores zn.2  mz.j  lt.8  - cerro colorado  -  referencia: AV 54 - A MEDIA CUADRA DE FERRETERÍA GINO,AREQUIPA,AREQUIPA,01 5007878,-16.327.233.470.874,-71.569.310.892.237
143,AYACUCHO / HUANTA / HUANTA / HUANTA,HUANTA,"JR. GERVASIO SANTILLANA N°976 - HUANTA - AYACUCHO. REF, CRUCE CON JR. REVOLUCIÓN",HUANTA,AYACUCHO,01 5007878,-12.937.385.673.235,-74.255.491.005.798
144,LIMA / LIMA / SAN JUAN DE LURIGANCHO / CRUZ DE MOTUPE,CRUZ DE MOTUPE,AV. FERNANDO WIESSE MZ. Q LOTE 1 AA.HH. CRUZ DE MOTUPE,LIMA,LIMA,(01) 500 7878,-11.938.267.731.665.000,-7.697.569.645.009.720
146,AREQUIPA / AREQUIPA / CAYMA / PLAZA LA TOMILLA,PLAZA LA TOMILLA,AV. RAMÓN CASTILLA N° 1000 - B  LA TOMIllA  CAYMA  -  REFERENCIA: EN LA MISMA PLAZA TOMIlla,AREQUIPA,AREQUIPA,(01) 500 7878,-163.575.544,-715.437.086
148,AREQUIPA / AREQUIPA / CERRO COLORADO / AV PUMACAHUA,AV PUMACAHUA,"URB. SAN FELIPE AV PUMACAHUA LT 14, CERRO COLORADO AREQUIPA, ref. A DOS CDRAS. ANTES DE LLEGAR AL METRO CENCOSUD / EX NOTARIA CONCHA REVILLA.",AREQUIPA,AREQUIPA,(01) 500 - 7878,-16.377.530.805.257.400,-7.155.688.960.685.170
151,LIMA / LIMA / SANTIAGO DE SURCO / HIGUERETA,HIGUERETA,"Calle Barlovento N° 134 REFERENCIA: A 3 CDRAS DE POLVOS ROSADOS, CERCA AL ÓVALO HIGUERETA, surco",LIMA,LIMA,(01) 500 7878,-12.128.290.656.591,-76.999.440.079.644
152,PIURA / TALARA / MANCORA / MÁNCORA,MÁNCORA,"AV. GRAU NRO. 432 MÁNCORA - TALARA - PIURA, REF. FRENTE AL PARADERO DE AUTOS DE LOS ÓRGANOS EN TODA LA PANAMERICANA NORTE.",TALARA,PIURA,(01) 500 7878,-41.067.198.549.527,-81.048.832.633.167
153,AREQUIPA / AREQUIPA / MARIANO MELGAR / MARIANO MELGAR,MARIANO MELGAR,"CALLE ANCASH N° 202 - MARIANO MELGAR, REF. A LA ALTURA DEL COLISEO DEL NIÑO",AREQUIPA,AREQUIPA,(01) 500 7878,-1.640.347.178.489.040,-715.114.991.875.102
155,AREQUIPA / AREQUIPA / SOCABAYA / AV SOCABAYA - LOS TORITOS,AV SOCABAYA - LOS TORITOS,"AV. SOCABAYA 301 - URB. SAN MARTÍN DE SOCABAYA, REF. AL FRENTE DEL PARQUE VICTOR BARRIGA",AREQUIPA,AREQUIPA,(01) 500 7878,-1.643.784.754.394,-71.529.989.703.615
156,LIMA / CAÑETE / MALA / MALA,MALA,"Av. Marchand # 250, distrito de Mala .    referencia:  a unas casas frente a la distribuidora primax gas",CAÑETE,LIMA,01 5007878,-126.571.028,-766.366.831
157,LAMBAYEQUE / LAMBAYEQUE / OLMOS / OLMOS,OLMOS,"AV. AUGUSTO B. LEGUÍA MZ. 87 LT. 32  - OLMOS - LAMBAYEQUE, REF. AL FRENTE DE LA COMISARIA DE OLMOS.",LAMBAYEQUE,LAMBAYEQUE,(01) 500 7878,-59.871.924.350.643,-79.743.017.122.659
158,LAMBAYEQUE / CHICLAYO / CHICLAYO / MIRAFLORES CHICLAYO,MIRAFLORES CHICLAYO,"AV. PANAMERICANA 975 PP JJ LUIS ALBERTO SANCHEZ, CHICLAYO - CHICLAYO - LAMBAYEQUE, REF. A MEDIA CDRA. DEL OVALO SEÑOR DE SIPAN / AL FRENTE DE DERCO CENTER",CHICLAYO,LAMBAYEQUE,(01) 500 7878,-67.587.235.317.862,-79.862.861.099.996
159,LIMA / LIMA / SAN JUAN DE LURIGANCHO / SJL- LAS FLORES,SJL- LAS FLORES,"AV. CANTO GRANDE N°. 2570 - URB. GANIMEDES, REFERENCIA: A 3 CDRAS. DE PLAZA VEA",LIMA,LIMA,(01) 500 7878,-11.986.444.455.930.900,-7.701.549.062.944.760
160,LAMBAYEQUE / LAMBAYEQUE / MOTUPE / MOTUPE,MOTUPE,CALLE LOS PINOS N°116 - LOTIZACION LA PRIMAVERA  REFERENCIA :  A MEDIA CUADRA DE LA PANAMERICANA CARRETERA FERNANDO BELAUNDE TERRY,LAMBAYEQUE,LAMBAYEQUE,(01) 500 7878,-61.504.717.509.297,-79.711.388.575.277
161,LIMA / HUARAL / CHANCAY / CHANCAY,CHANCAY,PROLONGACIÓN SAN MARTÍN N°403 CHANCAY - REFERENCIA: A UNA CDRA. DE LA AV. PANAMERICANA NORTE,HUARAL,LIMA,(01) 500 7878,-115.643.122,-772.673.802
162,AREQUIPA / AREQUIPA / MIRAFLORES / MIRAFLORES AREQUIPA,MIRAFLORES AREQUIPA,"URB. RESIDENCIAL FELIPE SANTIAGO SALAVERRY - CALLE TENIENTE RODRÍGUEZ MZ. H LT. 11, MIRAFLORES - AREQUIPA - AREQUIPA, REF. A MEDIA CDRA. DE LA COMPAÑIA DE BOMBERO DE MIRAFLORES",AREQUIPA,AREQUIPA,(01) 500 7878,-16.391.344.690.541,-71.513.189.845.233
163,AREQUIPA / AREQUIPA / PAUCARPATA / URB MANUEL PRADO,URB MANUEL PRADO,CALLE BELÉN N°100 - A URB. MANUEL PRADO - PAUCARPATA  REFERENCIA: A ESPALDAS DEL CC. MALL AVENTURA PORONGOCHE,AREQUIPA,AREQUIPA,01 5007878,-164.169.283,-715.124.596
164,JUNIN / SATIPO / SATIPO / SATIPO,SATIPO,"JR. FRANCISCO IRAZOLA 1077 - JUNÍN , REF. FÁBRICA LA SATIPEÑA",SATIPO,JUNIN,01 5007878,-11.259.616.493.652,-7.464.248.165.158
165,JUNIN / CHANCHAMAYO / SAN RAMON / SAN RAMÓN,SAN RAMÓN,"JR. UCAYALI 102 - SAN RAMÓN, REFERENCIA: FRENTE A LA CAJA HUANCAYO Y EL PARQUE EL AVIÓN",CHANCHAMAYO,JUNIN,(01) 500 7878,-11.124.126,-75.355.581
166,JUNIN / CHANCHAMAYO / LA MERCED / LA MERCED,LA MERCED,"AV. PERU 931 SECTOR PAMPA DEL CARMEN, LA MERCED  -CHANCHAMAYO - JUNÍN, REF. FRENTE A LA COOPERATIVA CHANCHAMAYO",CHANCHAMAYO,JUNIN,01 5007878,-11.070.138.136.554,-75.336.406.736.317
167,JUNIN / CHANCHAMAYO / BAJO PICHANAQUI / PICHANAKI,PICHANAKI,AV. VENUS LT. 20 CIUDAD SATÉLITE - REF. ( A 1 CUADRA Y MEDIA DEL PARQUE DE SATÉLITE),CHANCHAMAYO,JUNIN,15007878,-10.919.270.732.705,-74.878.801
168,JUNIN / TARMA / TARMA / TARMA,TARMA,"JR. AMAZONAS NRO. 1164 TARMA - JUNÍN, REF. ENTRE JR. AMAZONAS CON AV. VIENRICH",TARMA,JUNIN,(01) 500 7878,-11.417.779.771.838,-75.693.027.799.999
169,LIMA / LIMA / LURIGANCHO / CHOSICA,CHOSICA,EL SOL 124 (PARQUE ECHENIQUE) LURIGANCHO - CHOSICA,LIMA,LIMA,(01) 500 7878,-1.193.352.928.120.610,-7.669.333.509.527.560
170,LIMA / LIMA / CHORRILLOS / CHORRILLOS LOS FAISANES,CHORRILLOS LOS FAISANES,"AV. LOS FAISANES 420, REFERENCIA: AL COSTADO DE LA TIENDA JOHN HOLDEN",LIMA,LIMA,(01) 500 7878,-12.176.072,-76.998.107
171,LAMBAYEQUE / LAMBAYEQUE / LAMBAYEQUE / LAMBAYEQUE PANAMERICANA,LAMBAYEQUE PANAMERICANA,"CALLE PARAGUAY MZ. D LT 2A UNIDAD VECINAL INDOAMÉRICA - LAMBAYEQUE, REF. AL COSTADO DE LA FÁBRICA DE KINKONES BRUNING / A 01 CUADRA DEL PUENTE LAMBAYEQUE",LAMBAYEQUE,LAMBAYEQUE,O1 5007878,-66.950.640.309.514,-79.903.733.032.828
172,LIMA / LIMA / INDEPENDENCIA / LA CINCUENTA,LA CINCUENTA,"AV. TUPAC AMARU N° 4708 - 4710, REF. A UNA CDRA. DEL PARADERO ESTACIÓN NARANJAL",LIMA,LIMA,(01) 500 7878,-11.978.882.502.306.400,-770.591.044.310.316
175,LIMA / LIMA / LOS OLIVOS / PRO,PRO,"AV. LOS PRÓCERES MZ. PP2 LT.21, URB. PUERTAS DE PRO - LOS OLIVOS",LIMA,LIMA,(01) 500 7878,-119.450.493,-770.775.764
176,LIMA / LIMA / RIMAC / RIMAC AV. AMANCAES,RIMAC AV. AMANCAES,Av. Amancaes Nro. 644 urb. Ciudad y campo - Rimac,LIMA,LIMA,01 500 7878,-120.220.967,-770.306.918
177,ANCASH / SANTA / NUEVO CHIMBOTE / OVALO DE LA FAMILIA,OVALO DE LA FAMILIA,Urbanización José Carlos Mariategui (ex UNICRETO) mz R 3 lt 3 Ref. A una cuadra del óvalo la familia,SANTA,ANCASH,01 5007878,-9.127.764,-78.517.709
181,JUNIN / HUANCAYO / HUANCAYO / HUANCAYO JR. ICA,HUANCAYO JR. ICA,"JR. ICA Nº 1143 - HUANCAYO, REFERENCIA: ENTRE EL JR. ICA Y EL JR. TACNA",HUANCAYO,JUNIN,(01) 500 7878,-120.739.582,-752.141.862
183,ANCASH / HUARMEY / HUARMEY / HUARMEY,HUARMEY,"CARR. PANAMERICANA NORTE N° KM 293 SECT. PANAMERICANA HUARMEY – ANCASH, REF. A 4 CDRAS. DEL TERMINAL TERRESTRE DE SUR A NORTE",HUARMEY,ANCASH,(01) 500 7878,-10.064.877.234.999,-78.156.818.888.783
184,LAMBAYEQUE / CHICLAYO / CHICLAYO / MARISCAL NIETO,MARISCAL NIETO,"CALLE MARISCAL NIETO N° 390, REFERENCIA: ENTRE MARISCAL NIETO Y MIGUEL GRAU",CHICLAYO,LAMBAYEQUE,(01) 500 7878,-67.748.775,-798.324.065
185,LIMA / LIMA / VILLA MARIA DEL TRIUNFO / PESQUERO,PESQUERO,"AV. PACHACUTEC N° 3548, REFERENCIA: FRENTE A REAL PLAZA, A 1 CDRA. DE MAYORSA",LIMA,LIMA,01 5007878,-12.179.083.535.105.900,-7.694.455.568.962.940
186,LIMA / LIMA / MAGDALENA DEL MAR / MAGDALENA DEL MAR,MAGDALENA DEL MAR,"JR. AYACUCHO N° 756, REFERENCIA: A UNA CDRA. DEL MERCADO MODELO DE MAGDALESY A 3 CDRAS. DE LA IGLESIA CÚPULA DE SUCRE",LIMA,LIMA,(01) 500 7878,-12.086.209.998.877.800,-7.707.142.297.178.570
187,LAMBAYEQUE / CHICLAYO / JOSE LEONARDO ORTIZ  / CALLE TAHUANTINSUYO,CALLE TAHUANTINSUYO,"CALLE TAHUANTINSUYO 995 - URB. SAN LORENZO - JOSE LEONARDO ORTIZ - CHICLAYO - LAMBAYEQUE, REF. ENTRE LA CDRA. 2 DE AV. AMÉRICA Y LA CALLE TAHUANTINSUYO/A MEDIA CDRA. DE LA IGLESIA LOS MORMONES",CHICLAYO,LAMBAYEQUE,(01) 500 7878,-67.606.203.740.115,-79.841.664.422.679
188,ANCASH / CASMA / CASMA / CASMA,CASMA,"AV. MIGUEL GRAU MZ. D 4 LT. 1 CASMA - ANCASH, REF. FRENTE AL JARDÍN DE INFANCIA",CASMA,ANCASH,(01) 500 7878,-94.718.613.228.196,-78.303.136.341.104
193,LIMA / LIMA / SAN MARTIN DE PORRES / SMP-AV. PROCERES,SMP-AV. PROCERES,"AV. PRÓCERES N° 588 URB. COVICEM, REF. A 2 CDRAS. DE TOMÁS VALLE ",LIMA,LIMA,01 5007878,-12.014.500.655.852.000,-7.708.699.865.886.140
197,LAMBAYEQUE / CHICLAYO / TUMAN / TUMAN,TUMAN,"AV. CHOTA N° 288 SECTOR ACAPULCO, TUMAN - CHICLAYO - LAMBAYEQUE, REF. AL COSTADO DEL RESTAURANT MANOS CHOTANAS",CHICLAYO,LAMBAYEQUE,(01) 500 7878,-67.435.012.497.878,-79.697.416.401.677
198,LIMA / LIMA / PUENTE PIEDRA / ZAPALLAL,ZAPALLAL,"AV. ANCÓN 678, REF. A LA ESPALDA DEL PRECIO UNO DE FUNDICION",LIMA,LIMA,01 5007878,-11.830.750.370.122.900,-7.711.410.941.944.560
199,PIURA / PIURA / TAMBO GRANDE / TAMBO GRANDE,TAMBO GRANDE,"AA. HH. EL HUERTO MZ. E LT. 08 TAMBO GRANDE – PIURA - PIURA, REF. ATRÁS DEL COLEGIO INA 54 AGROPECUARIO, A LA ALTURA DEL CAMPO CAMPESTRE RIVERA DEL RÍO",PIURA,PIURA,01 5007878,-49.350.843.412.188,-8.034.533.475.739
200,PIURA / PIURA / PIURA / AV. LUIS EGUIGUREN,AV. LUIS EGUIGUREN,"AV. MÁLAGA MZ. A LT.20 INT. 105 PIURA, REF. A MEDIA CUADRA DE HONDA DEL PERU S.A. EN EL CRUCE DE AV. LUIS EGUIGUREN CON SULLANA NORTE ",PIURA,PIURA,(01) 500 7878,-51.854.726.017.121.400,-8.063.332.306.469.520
202,LIMA / LIMA / ATE-VITARTE / PUENTE SANTA ANITA,PUENTE SANTA ANITA,Av. Nicolás Ayllón N° 3080  - Ate vitarte,LIMA,LIMA,01 5007878,-12.057.126.998.901.300,-7.696.934.509.277.340
203,CUSCO / CUSCO / SAN JERONIMO / SAN JERONIMO,SAN JERONIMO,"CALLE CIRO ALEGRÍA 226 - 224, REF. UNA CUADRA ANTES DEL PARADERO PENAL EN EL CARRIL DE BAJADA",CUSCO,CUSCO,01 5007878,-13.545.038.230.775,-71.895.806.395.877
208,PIURA / PIURA / PIURA / AV. GRAU,AV. GRAU,"Av. grau manzana N, lote 33 - urbanización la alborada. ref. Grau con marcavelica",PIURA,PIURA,15007878,-51.867.475,-806.547.354
211,LA LIBERTAD / TRUJILLO / LA ESPERANZA / AV TAHUANTINSUYO,AV TAHUANTINSUYO,"AV. TAHUANTINSUYO N° 739, LA ESPERANZA – TRUJILLO – LA LIBERTAD, REF. DIAGONAL A GRIFO EL AMIGO. / ENTRE PASAJE SANTA ANA Y AV. LOS LAURELES",TRUJILLO,LA LIBERTAD,(01) 500 7878,-80.860.539.275.375,-79.041.433.559.277
212,LA LIBERTAD / TRUJILLO / EL PORVENIR / AV HERMANOS ANGULO,AV HERMANOS ANGULO,"AV. HERMANOS ANGULO 628, TRUJILLO, REF. A ESPALDAS DE LA MUNICIPALIDAD EL PORVENIR",TRUJILLO,LA LIBERTAD,,-80.843.892.837.298,-79.000.249.497.004
213,CUSCO / CUSCO / SANTIAGO / AV ANTONIO LORENA,AV ANTONIO LORENA,"Prolongación Av. Antonio Lorena # 140 - Santiago, Cusco, Referencia: al frente del cementerio Almudena",CUSCO,CUSCO,15007878,-135.257.396,-719.879.012
214,JUNIN / HUANCAYO / CHILCA / CHILCA HUANCAYO,CHILCA HUANCAYO,"JR. 28 DE JULIO N° 935, REF. ESQUINA 28 DE JULIO Y SANTOS CHOCANO",HUANCAYO,JUNIN,(01) 500 7878,-12.084.192.324.029,-75.202.691.995.668
215,LIMA / LIMA / VILLA MARIA DEL TRIUNFO / AV. LIMA - VMT,AV. LIMA - VMT,"AV. LIMA 2208 JOSÉ GÁLVEZ- VILLA MARÍA  DEL TRIUNFO, REFERENCIA: A DOS CDRAS. DE LA CURVA JOSÉ GÁLVEZ",LIMA,LIMA,(01) 500 7878,-12.226.053,-76.908.879
216,LIMA / LIMA / ATE-VITARTE / HUAYCAN AV JOSE C MARIATEGUI,HUAYCAN AV JOSE C MARIATEGUI,"AV. JOSÉ CARLOS MARIÁTEGUI Z. E LT. 23 UCV 5 (ZONA COMERCIO) - PUEBLO JOVEN ""PROYECTO ESPECIAL HUAYCÁN"" ATE VITARTE - LIMA, REF. A DOS CDRAS. DEL CRUCE CON AV. 15 DE JULIO",LIMA,LIMA,01 5007878,-12.014.821.320.970.100,-7.682.313.108.705.990
217,LIMA / LIMA / ATE-VITARTE / LOS SAUCES,LOS SAUCES,AV. SANTA ROSA N°773 MANZANA “A” LOTE 6 URB LOS SAUCES - ATE - REFERENCIA: CRUCE CON LA AV SEPARADORA INDUSTRIAL,LIMA,LIMA,01 5007878,-120.709.298,-769.809.503
219,PIURA / PIURA / CASTILLA / AV TACNA,AV TACNA,"AV. TACNA 509 CASTILLA - PIURA, REFERENCIA: FRENTE A UGEL DE CASTILLA",PIURA,PIURA,,-52.024.612,-806.241.167
220,LIMA / LIMA / CERCADO LIMA / MALVINAS - JR. RICARDO TRENEMAN,MALVINAS - JR. RICARDO TRENEMAN,"JR. RICARDO TRENEMAN N° 920, REFERENCIA: DENTRO DEL LOCAL FARENET",LIMA,LIMA,(01) 500 7878,-12.046.751,-77.054.634
222,PIURA / PIURA / 26 DE OCTUBRE / PARQUE INDUSTRIAL CO PIURA FUTURA,PARQUE INDUSTRIAL CO PIURA FUTURA,"URB. PARQUE INDUSTRIAL PIURA FUTURA MZ. G, LT. 1A. 26 DE OCTUBRE - PIURA, REFERENCIA: AL FRENTE DEL GRIFO PETRO PERÚ",PIURA,PIURA,(01) 500 7878,-51.605.551.169.742,-80.690.649.236.109
223,CUSCO / ANTA / ANTA / ANTA IZCUCHACA,ANTA IZCUCHACA,"PARQUE DEL CARMEN LT. 1 MZ. B 2, ANTA - ANTA - CUSCO, REF. PARADERO CARMEN, PISTA PRINCIPAL IZCUCHACA",ANTA,CUSCO,(01) 500 7878,-13.469.611.752.105,-72.135.833.970.585
224,LIMA / LIMA / SAN MARTIN DE PORRES / AV. PERU 15,AV. PERU 15," Av. Perú 1589, San Martin de Porres -  Lima. Referencia: a dos cuadras del CruCe con la Av. Canadá.",LIMA,LIMA,01 5007878,-120.327.011,-770.626.605
225,CAJAMARCA / CAJAMARCA / CAJAMARCA / CAJAMARCA HORACIO ZEVALLOS,CAJAMARCA HORACIO ZEVALLOS,JR. EMILIO BARRANTES MZ X LOTE 3 URB. HORACIO ZEVALLOS - CAJAMARCA. REFERENCIA A UNA CUADRA DE LA UNIVERSIDAD PRIVADA DEL NORTE (UPN) Y VÍA DE EVITAMIENTO NORTE CUADRA 13.,CAJAMARCA,CAJAMARCA,01 5007878,-71.494.038,-785.064.654
227,LIMA / LIMA / LOS OLIVOS / AV. ANGELICA GAMARRA,AV. ANGELICA GAMARRA,"AV. ANGELICA GAMARRA DE LEON VALVERDE N° 621 URB EL TREBOL, LOS OLIVOS - LIMA, REF. A LA ALTURA DEL KFC / CRUCE CON AV. ALFA",LIMA,LIMA,(01) 500 7878,-1.200.564.059.430.330,-7.706.833.392.202.750
228,LIMA / LIMA / COMAS / AV. TRAPICHE,AV. TRAPICHE,"AV. TRAPICHE 886 A 16 2P 2 - URB. PINAR, REFERENCIA: FRENTE AL COMPLEJO DEPORTIVO WALON",LIMA,LIMA,(01) 500 7878,-1.191.918.929.266.530,-7.706.050.258.466.900
229,LIMA / LIMA / COMAS / AÑO NUEVO,AÑO NUEVO,"AV. TUPAC AMARU N° 7837- 7839 MZ. C LT. 010 URB. POPULAR SAN JUAN BAUTISTA I ETAPA, COMAS - LIMA, REF. A UNA CDRA. DE LA ENTRADA DE COLLIQUE",LIMA,LIMA,(01) 500 7878,-11.915.107.566.733.100,-7.704.066.226.893.430
230,LIMA / LIMA / CARABAYLLO / TUNGASUCA,TUNGASUCA,"AV. TRAPICHE MZ. P LT. 48, URB. TUNGASUCA REFERENCIA: AUX. AV. CHIMPU OCLLO CON AUX. CHILLÓN TRAPICHE, A 1 CUADRA DEL MERCADO QATUNA",LIMA,LIMA,01 5007878,-11.891.425.542.921.500,-7.704.442.551.681.060
232,SAN MARTIN / MARISCAL CACERES / JUANJUI / JUANJUÍ FERNANDO BELAUNDE TERRY CO,JUANJUÍ FERNANDO BELAUNDE TERRY CO,CARRETERA FERNANDO TERRY KM. 1 S/N REFERENCIA: AL COSTADO DE PARADERO DE AUTOS HUALLAGA EXPRESS,MARISCAL CACERES,SAN MARTIN,01 5007878,-71.779.108,-76.737.078
233,LIMA / LIMA / LA VICTORIA / AV. CANADA,AV. CANADA,"AV. CANADÁ 1603, REFERENCIA: ENTRE AV. CANADÁ CON AV. AVIACIÓN",LIMA,LIMA,01 5007878,-120.840.074,-770.058.111
234,LORETO / ALTO AMAZONAS / YURIMAGUAS / YURIMAGUAS,YURIMAGUAS,"CALLE JORGE CHÁVEZ N° 300, REFERENCIA: ESQUINA CON PROGRESO, AL COSTADO DE ENAPU",ALTO AMAZONAS,LORETO,(01) 500 7878,-58.863.186,-761.105.129
235,CUSCO / URUBAMBA / URUBAMBA / CUSCO URUBAMBA,CUSCO URUBAMBA,"LT. E-3 FRACCIÓN -1, SECTOR PATAHUASI, URUBAMBA – URUBAMBA - CUSCO, REF. A UNA CDRA. DE LA CARRETERA A OLLANTAYTAMBO / A MEDIA CDRA. DEL PARQUE TERESITA",URUBAMBA,CUSCO,(01) 500 7878,-13.300.611.752.565,-72.125.221.529.448
237,CUSCO / URUBAMBA / CHINCHERO / CHINCHERO,CHINCHERO,"AV. MATEO PUMACAHUA S/N, CHINCHERO - URUBAMBA - CUSCO, ref AL COSTADO DE LA CAJA CUSCO / EN LA MISMA CARRETERA A URUBAMBA",URUBAMBA,CUSCO,01 5007878,-133.916.558,-72.050.836.126.361
238,CUSCO / LA CONVENCION / SANTA ANA / QUILLABAMBA,QUILLABAMBA,"JR. PUNO LT. 10 Y 11 MZ. G URB. SANTA ANA, CUSCO - LA CONVENCION - SANTA ANA, REF. A MEDIA CDRA.l DEL ESTADIO MUNICIPAL DE QUILLABAMBA / CRUCE CON PROLONGACION Jr. MARTIN PIO CONCHA",LA CONVENCION,CUSCO,(01) 500 7878,-12.867.000.552.803,-72.691.361.212.547
239,LIMA / LIMA / SAN BORJA / AVIACION 2819,AVIACION 2819,"AV. AVIACIÓN 2819, URB. SAN BORJA SUR, REFERENCIA: AL FRENTE DE BEMBOS",LIMA,LIMA,(01) 500 7878,-120.966.861,-770.021.534
240,LIMA / LIMA / SAN JUAN DE LURIGANCHO / SJL-AV.PROCERES,SJL-AV.PROCERES,AV. PRÓCERES DE LA INDEPENDENCIA NRO.  1295 - 1299 REFERENCIA: AL COSTADO DEL BANCO DE LA NACIÓN DE AV. LOS TUSILAGOS OESTE,LIMA,LIMA,01 5007878,-12.012.724.544.095.400,-770.023.639.335.885
242,JUNIN / YAULI / LA OROYA / LA OROYA,LA OROYA,AV. ARÉVALO S/N (CARRETERA CENTRAL) - ANEXO EL TAMBO - SANTA ROSA DE SACCO,YAULI,JUNIN,(01) 500 7878,-115.707.657,-759.586.329
243,CAJAMARCA / CAJAMARCA / CAJAMARCA / BARRIO SAN JOSE,BARRIO SAN JOSE,"Jr. Chanchamayo N° 1162 - Barrio San José Cajamarca,  REFERENCIA: Paralela Con Jr. Huancavelica y Jr. Sara Macdougall.",CAJAMARCA,CAJAMARCA,01 5007878,-71.497.829.958.282,-785.206.235.201
245,PIURA / PIURA / CASTILLA / TACALA,TACALA,"CARR. PANAMERICANA A-2 AH. ALMIRANTE MIGUEL GRAU I ETAPA, CASTILLA - PIURA - PIURA, REF. AL COSTADO DE CERÁMICAS SAN LORENZO",PIURA,PIURA,,-51.904.180.356.006,-80.603.083.300.001
246,LIMA / LIMA / SAN JUAN DE MIRAFLORES / MARIA AUXILIADORA,MARIA AUXILIADORA,"AV. LOS HÉROES 1140 - SJM, REFERENCIA: UNA CDRA. ANTES DEL HOSPITAL MARÍA AUXILIADORA",LIMA,LIMA,(01) 500 7878,-12.158.926,-76.960.685
247,CAJAMARCA / CAJAMARCA / LOS BANOS DEL INCA / BAÑOS DEL INCA,BAÑOS DEL INCA,"JR. CAHUIDE N° 242 – LOTIZ. HURTADO MILLER – BAÑOS DEL INCA – CAJAMARCA, REF. A ESPALDAS DE SENATI Y A UNA CDRA. DE LA BASE DE SERENAZGO DE BAÑOS DEL INCA",CAJAMARCA,CAJAMARCA,(01) 500 7878,-7.163.558.261.272,-78.468.443.729.448
250,LIMA / LIMA / LOS OLIVOS / AV HUANDOY CON MARAÑON,AV HUANDOY CON MARAÑON,"AV. PRÓCERES, MZ. 3, LT. 23 A.H. LAURA CALLER - LOS OLIVOS, REFERENCIA: CRUCE ENTRE AV. HUANDOY Y MARAÑÓN",LIMA,LIMA,(01) 500 7878,-119.706.780,-770.803.560
251,LA LIBERTAD / CHEPEN / PACANGA / PACANGUILLA,PACANGUILLA,"CARRETERA PANAMERICANA  # 835 - URB. PACANGUILLA - DISTRITO PACANGA, REFERENCIA: EN LA MISMA PANAMERICANA",CHEPEN,LA LIBERTAD,01 5007878,-7.154.513,-79.446.302
254,LIMA / LIMA / VILLA EL SALVADOR / AV. PASTOR SEVILLA,AV. PASTOR SEVILLA,"MZ. B LT. 3 BARRIO 3 SECTOR 2 - 4TA ETAPA - VES, REFERENCIA: POR EL ÓVALO CERRO LOMAS, FRENTE AL COLEGIO VIRGEN DEL ROSARIO",LIMA,LIMA,(01) 500 7878,-12.242.278.748.260.600,-7.692.582.672.867.120
256,LIMA / LIMA / INDEPENDENCIA / PLAZA NORTE ENTREGAS,PLAZA NORTE ENTREGAS,Av. GERARDO UNGER NRO. 6917 INT. LB 19,LIMA,LIMA,,-12.004.946,-77.055.867
257,HUANCAVELICA / HUANCAVELICA / HUANCAVELICA / HUANCAVELICA,HUANCAVELICA,"AV. UNIVERSITARIA 1003 - HUANCAVELICA, REF. A 1 CDRA. DE LA ESCUELA SANTA ANA Y A 3 CDRAS. DEL PUENTE DEL EJÉRCITO (BARRIO SANTA ANA)",HUANCAVELICA,HUANCAVELICA,(01) 500 7878,-12.783.667.969.689,-74.964.528.087.041
